pmu_bus,degree,neighbors,pmu_subsystem,region,proposed_name,confidence,candidates_and_notes,pass2_name,pass2_conf,map_evidence,pass3_name,pass3_conf,pass3_evidence
2,3,"7,16",north,MIDDLE,AMMAN_WEST,med,Ramallah tie comes off Amman West (anchor),AMMAN_WEST,high,Map: TO JERUSALEM arrow at Amman West; 400/132 since 2016 (T6.3-1) - anchor confirmed,AMMAN_WEST,high,Map: TO JERUSALEM arrow at Amman West; 400/132 since 2016 (T6.3-1) - anchor confirmed
16,2,"2,15",north,MIDDLE,FUHEIS?,low,cand: Fuheis/Salt/Subeihi,FUHEIS?,low,,FUHEIS?,low,
15,3,"13,16,18",north,MIDDLE,SALT?,low,cand: Subeihi/Salt/Bayader,SALT?,low,,SALT?,low,
13,2,"1,15",north,MIDDLE,BAYADER?,low,cand: Bayader/New Bayader/University,BAYADER?,low,,BAYADER?,low,
1,2,"13,29",north,MIDDLE,UNIVERSITY?,low,cand: University/City Center,UNIVERSITY?,low,,UNIVERSITY?,low,
14,1,6,north,NORTH,WAQAS?,low,far-NW leaf near Syria/Ramallah; cand: Waqas/Irbid,WAQAS?,low,,WAQAS?,low,
6,3,"5,12,14",north,NORTH,IRBID?,low,cand: Irbid/Irbid East/Ishtafina,IRBID?,low,,IRBID?,low,
5,2,"3,6",north,NORTH,IRBID_EAST?,low,cand: Irbid East/Ishtafina/Hassan Ind,IRBID_EAST?,low,,IRBID_EAST?,low,
3,4,"4,5,12,18",north,MIDDLE,AMMAN_NORTH,med,To-Syria-adjacent hub; cand: Amman North/Samra,AMMAN_NORTH,med,,AMMAN_NORTH_132,med,"with 4; note: no PMU edge to 7 (Amman North 400) - reconstruction artifact, footnote it"
4,3,"3,18",north,MIDDLE,AMMAN_NORTH_TIE,med,To Syria arrow attaches here (anchor),SYRIA_TIE_NODE,med,"CHECK: map shows BOTH Syria ties (To Daraa 225kV blue, To Dir Ali 400kV red) leaving from the IRBID EAST area, not Amman North - the tie anchor may belong at 5/6, shifting 3/4",AMMAN_NORTH_TIE,high,MEZ: Dir Ali 400kV tie leaves from Amman North - pass-1 anchor correct; Daraa 132 tie is at Irbid (pin separately)
12,3,"3,6,8",north,NORTH,MAFRAQ?,low,cand: Mafraq/Rehab/Rajihi Cement,MAFRAQ?,low,,MAFRAQ?,low,
8,4,"9,10,11,12",north,NORTH,MAFRAQ?,low,cand: Mafraq/Sabha/Hashmya,MAFRAQ?,low,,MAFRAQ?,low,
9,1,8,north,NORTH,SABHA?,low,leaf; cand: Sabha/Rajihi Cement,SABHA?,low,,SABHA?,low,
10,2,"8,11",north,NORTH,DHULEIL?,low,cand: Dhuleil/Hashmya,DHULEIL?,low,,DHULEIL?,low,
11,6,"7,8,10,18,19,32",north,MIDDLE,SAMRA_400?,med,major northern hub; cand: Samra(400)/Amman North(400),SAMRA_400,high,Map: Samra = northern 400 hub; Samra-Amman West 400kV 70km (T6.3-1) explains 11-7-2 corridor,SAMRA_400,high,Map: Samra = northern 400 hub; Samra-Amman West 400kV 70km (T6.3-1) explains 11-7-2 corridor
7,2,"2,11",north,EAST,RUWEISHED?,low,top-right long eastern line; cand: Ruweished/El-Risha branch,AMMAN_NORTH_400?,low,"REVISED: 7 sits between Amman West(2) and Samra(11) = the 400 corridor, NOT the eastern El-Risha line; cand Amman North 400",AMMAN_NORTH_400,med,MEZ confirmed: on Samra-Amman West 400 corridor
19,2,"11,21",north,EAST,SAFAWI?,low,eastern long line; cand: Safawi/Ruweished,SAFAWI_or_RUWEISHED,med,NOTE: map chain has THREE stations (Safawi-Ruweished-El-Risha) but pass-1 has two nodes - one merged in PMU Fig.3,SAFAWI,high,MEZ: junction node; Ruweished (small load) absorbed here in PMU figure
21,1,19,north,EAST,EL_RISHA?,low,far-east leaf (El-Risha = end of long eastern line),EL_RISHA,high,"far-east leaf, unambiguous",EL_RISHA,high,MEZ: Risha plant anchor at Iraqi border
18,5,"3,4,11,15,17",north,MIDDLE,AMMAN_NORTH_132,med,major 132 busbar hub,AMMAN_NORTH_132,med,,AMMAN_NORTH_132,med,
17,1,18,north,MIDDLE,MARKA?,low,leaf off 18; cand: Marka/Tareq,MARKA?,low,,MARKA?,low,
29,4,"1,28,30,32",north,MIDDLE,ZERQA?,low,cand: Zerqa/Hashmya/New Zarqa,ZERQA?,low,,ZERQA?,low,
28,3,"25,27,29",central,MIDDLE,NEW_ZARQA?,low,cand: New Zarqa/Abdali,NEW_ZARQA?,low,,NEW_ZARQA?,low,
25,2,"27,28",central,MIDDLE,ABDALI?,low,cand: Abdali/Hashmya,ABDALI?,low,,ABDALI?,low,
