pmu_bus,degree,neighbors,pmu_subsystem,region,proposed_name,confidence,candidates_and_notes
2,3,"7,16",north,MIDDLE,AMMAN_WEST,med,"Ramallah tie comes off Amman West (anchor)"
16,2,"2,15",north,MIDDLE,FUHEIS?,low,"cand: Fuheis/Salt/Subeihi"
15,3,"13,16,18",north,MIDDLE,SALT?,low,"cand: Subeihi/Salt/Bayader"
13,2,"1,15",north,MIDDLE,BAYADER?,low,"cand: Bayader/New Bayader/University"
1,2,"13,29",north,MIDDLE,UNIVERSITY?,low,"cand: University/City Center"
14,1,"6",north,NORTH,WAQAS?,low,"far-NW leaf near Syria/Ramallah; cand: Waqas/Irbid"
6,3,"5,12,14",north,NORTH,IRBID?,low,"cand: Irbid/Irbid East/Ishtafina"
5,2,"3,6",north,NORTH,IRBID_EAST?,low,"cand: Irbid East/Ishtafina/Hassan Ind"
3,4,"4,5,12,18",north,MIDDLE,AMMAN_NORTH,med,"To-Syria-adjacent hub; cand: Amman North/Samra"
4,3,"3,18",north,MIDDLE,AMMAN_NORTH_TIE,med,"To Syria arrow attaches here (anchor)"
12,3,"3,6,8",north,NORTH,MAFRAQ?,low,"cand: Mafraq/Rehab/Rajihi Cement"
8,4,"9,10,11,12",north,NORTH,MAFRAQ?,low,"cand: Mafraq/Sabha/Hashmya"
9,1,"8",north,NORTH,SABHA?,low,"leaf; cand: Sabha/Rajihi Cement"
10,2,"8,11",north,NORTH,DHULEIL?,low,"cand: Dhuleil/Hashmya"
11,6,"7,8,10,18,19,32",north,MIDDLE,SAMRA_400?,med,"major northern hub; cand: Samra(400)/Amman North(400)"
7,2,"2,11",north,EAST,RUWEISHED?,low,"top-right long eastern line; cand: Ruweished/El-Risha branch"
19,2,"11,21",north,EAST,SAFAWI?,low,"eastern long line; cand: Safawi/Ruweished"
21,1,"19",north,EAST,EL_RISHA?,low,"far-east leaf (El-Risha = end of long eastern line)"
18,5,"3,4,11,15,17",north,MIDDLE,AMMAN_NORTH_132,med,"major 132 busbar hub"
17,1,"18",north,MIDDLE,MARKA?,low,"leaf off 18; cand: Marka/Tareq"
29,4,"1,28,30,32",north,MIDDLE,ZERQA?,low,"cand: Zerqa/Hashmya/New Zarqa"
28,3,"25,27,29",central,MIDDLE,NEW_ZARQA?,low,"cand: New Zarqa/Abdali"
25,2,"27,28",central,MIDDLE,ABDALI?,low,"cand: Abdali/Hashmya"
27,3,"25,28,40",central,MIDDLE,CITY_CENTER?,low,"links to central hub 40"
30,5,"20,29,32,33,36",north,EAST,AMMAN_EAST?,med,"eastern 400 hub (transformer nbr); cand: Amman East/Samra(400)"
32,4,"11,29,30,31",north,MIDDLE,SAMRA?,med,"400-area hub; cand: Samra/Amman East"
31,2,"32,34",north,EAST,HEZAM?,low,"cand: Hezam/Manara"
34,1,"31",north,EAST,MANARA?,low,"leaf"
33,1,"30",north,EAST,ASHRAFIAH?,low,"leaf (lower '34' label = bus 33)"
20,2,"30,36",central,EAST,AZRAQ?,low,"cand: Azraq/Broadcasting"
36,3,"20,22,30",central,EAST,SAHAB?,low,"eastern fan link; cand: Sahab/Mwaqar"
40,6,"26,27,35,41,42,43",central,MIDDLE,AMMAN_SOUTH_132,med,"major central hub; cand: Amman South/Marka"
26,1,"40",central,MIDDLE,ABDOON?,low,"leaf"
41,1,"40",central,MIDDLE,TAREQ?,low,"leaf"
42,1,"40",central,MIDDLE,ASHRAFIAH?,low,"leaf"
35,7,"22,23,24,37,38,39,40",central,EAST,MWAQAR?,med,"fans to eastern sites; cand: Mwaqar/Sahab hub"
22,2,"35,36",central,EAST,BROADCAST?,low,"eastern fan; cand: Broadcasting/Azraq"
23,1,"35",central,EAST,SAFAWI?,low,"eastern fan leaf"
24,1,"35",central,EAST,RUWEISHED?,low,"eastern fan leaf"
37,1,"35",central,EAST,MWQAR_IND?,low,"eastern fan leaf"
38,1,"35",central,EAST,SAHAB?,low,"eastern fan leaf"
39,1,"35",central,EAST,RESHA?,low,"eastern fan leaf"
43,3,"40,44,49",central,MIDDLE,QAIA?,med,"central-south bridge node"
44,2,"43,49",central,MIDDLE,MADABA_STH?,med,"central-south bridge node"
49,6,"43,44,45,48,50,57",south,MIDDLE,AMMAN_SOUTH,med,"southern gateway from central (anchor by position)"
48,3,"46,47,49",south,SOUTH,QAIA?,low,"cand: QAIA/Madaba South/Suweimeh"
47,1,"48",south,SOUTH,SUWEIMEH?,low,"leaf (To Jerico end?)"
46,1,"48",south,SOUTH,MADABA_STH?,low,"leaf"
45,2,"49,50",south,SOUTH,MODERN_CEMENT?,low,"cand: Modern Cement/Madaba"
50,3,"45,49,52",south,SOUTH,QATRANA?,low,"toward Karak/Qatrana branch"
52,4,"50,51,53,54",south,SOUTH,KARAK?,low,"sub-hub feeding 54-55-56 chain (Karak area)"
54,2,"52,55",south,SOUTH,KARAK_SOUTH?,low,"Karak-area chain"
55,2,"54,56",south,SOUTH,QATRANA_CEMENT?,low,"chain"
56,1,"55",south,SOUTH,GHOR_SAFI?,low,"chain end"
51,2,"52,57",south,SOUTH,EL_HASA?,low,"parallel corridor 52-57"
53,2,"52,57",south,SOUTH,RASHADIA?,low,"parallel corridor 52-57"
57,8,"49,51,53,58,61,62,63,67",south,SOUTH,QATRANA_or_NEW_MAAN,med,"dominant southern hub; cand: Qatrana/New Maan"
58,1,"57",south,SOUTH,TAFILA?,low,"leaf"
61,4,"57,60,62",south,SOUTH,AQABA,high,"To Egypt anchor"
60,2,"59,61",south,SOUTH,AQ_IND?,low,"Aqaba cluster"
59,1,"60",south,SOUTH,AQ_A2?,low,"Aqaba cluster leaf"
62,3,"57,61,64",south,SOUTH,MAAN?,low,"deep-south hub; cand: Maan/Quweira"
64,2,"62,65",south,SOUTH,QUWEIRA?,low,"cand: Quweira/Shedia/Disi"
65,2,"64,68",south,SOUTH,DESI?,low,"cand: Desi/Shedia"
68,2,"65,67",south,SOUTH,SHEDIA?,low,"cand: Shedia/Disi"
67,3,"57,66,68",south,SOUTH,RASHADIA?,low,"cand: Rashadia/Tafila/Fujij"
66,2,"63,67",south,SOUTH,FUJIJ?,low,"cand: Fujij/Hussain University"
63,2,"57,66",south,SOUTH,HUSSAIN_UNIV?,low,"cand: Hussain University/Maan Solar"
