week,hour,load_MW,solar_MW,wind_MW,netload_MW
peak,0,2115.3,0.0,146.3,1969.0
peak,1,2019.2,0.0,113.8,1905.4
peak,2,1955.0,0.0,123.7,1831.3
peak,3,1923.0,0.0,129.2,1793.8
peak,4,1955.0,0.0,106.1,1848.9
peak,5,2051.2,0.0,114.3,1936.9
peak,6,2243.5,0.0,107.5,2136.0
peak,7,2499.9,0.0,70.0,2429.9
peak,8,2660.2,105.8,107.9,2446.4
peak,9,2724.2,188.2,92.1,2444.0
peak,10,2756.3,247.0,63.2,2446.1
peak,11,2788.4,282.2,63.7,2442.4
peak,12,2756.3,294.0,69.5,2392.8
peak,13,2692.2,282.2,53.0,2357.0
peak,14,2660.2,247.0,51.9,2361.3
peak,15,2692.2,188.2,32.5,2471.5
peak,16,2820.4,105.8,69.5,2645.1
peak,17,3044.8,0.0,67.4,2977.3
peak,18,3205.0,0.0,76.9,3128.1
peak,19,3173.0,0.0,54.7,3118.3
peak,20,3044.8,0.0,116.8,2928.0
peak,21,2852.4,0.0,100.4,2752.0
peak,22,2564.0,0.0,99.5,2464.5
peak,23,2307.6,0.0,147.2,2160.4
peak,24,2115.3,0.0,117.8,1997.5
peak,25,2019.2,0.0,97.6,1921.5
peak,26,1955.0,0.0,116.4,1838.7
peak,27,1923.0,0.0,83.7,1839.3
peak,28,1955.0,0.0,136.4,1818.7
peak,29,2051.2,0.0,106.4,1944.8
peak,30,2243.5,0.0,93.9,2149.6
peak,31,2499.9,0.0,116.3,2383.6
peak,32,2660.2,105.8,61.8,2492.5
peak,33,2724.2,188.2,89.8,2446.3
peak,34,2756.3,247.0,37.9,2471.4
peak,35,2788.4,282.2,54.5,2451.6
peak,36,2756.3,294.0,40.1,2422.2
peak,37,2692.2,282.2,81.6,2328.3
peak,38,2660.2,247.0,85.7,2327.5
peak,39,2692.2,188.2,51.7,2452.3
peak,40,2820.4,105.8,74.9,2639.7
peak,41,3044.8,0.0,63.2,2981.5
peak,42,3205.0,0.0,82.9,3122.1
peak,43,3173.0,0.0,68.9,3104.0
peak,44,3044.8,0.0,61.6,2983.1
peak,45,2852.4,0.0,68.8,2783.7
peak,46,2564.0,0.0,113.6,2450.4
peak,47,2307.6,0.0,151.7,2155.9
peak,48,2115.3,0.0,123.7,1991.6
peak,49,2019.2,0.0,113.5,1905.7
peak,50,1955.0,0.0,155.3,1799.7
peak,51,1923.0,0.0,125.7,1797.3
peak,52,1955.0,0.0,119.8,1835.2
peak,53,2051.2,0.0,116.7,1934.5
peak,54,2243.5,0.0,103.1,2140.4
peak,55,2499.9,0.0,91.8,2408.1
peak,56,2660.2,105.8,64.1,2490.2
peak,57,2724.2,188.2,88.0,2448.1
peak,58,2756.3,247.0,70.0,2439.4
peak,59,2788.4,282.2,84.8,2421.3
peak,60,2756.3,294.0,53.6,2408.7
peak,61,2692.2,282.2,24.7,2385.2
peak,62,2660.2,247.0,54.4,2358.8
peak,63,2692.2,188.2,86.2,2417.9
peak,64,2820.4,105.8,55.0,2659.6
peak,65,3044.8,0.0,52.2,2992.5
peak,66,3205.0,0.0,54.4,3150.6
peak,67,3173.0,0.0,65.2,3107.8
peak,68,3044.8,0.0,86.6,2958.2
peak,69,2852.4,0.0,80.4,2772.0
peak,70,2564.0,0.0,133.3,2430.7
peak,71,2307.6,0.0,110.1,2197.5
peak,72,2115.3,0.0,121.6,1993.7
peak,73,2019.2,0.0,146.7,1872.4
peak,74,1955.0,0.0,148.4,1806.7
peak,75,1923.0,0.0,117.8,1805.2
peak,76,1955.0,0.0,123.0,1832.1
peak,77,2051.2,0.0,123.9,1927.3
peak,78,2243.5,0.0,100.9,2142.6
peak,79,2499.9,0.0,65.9,2434.0
peak,80,2660.2,105.8,98.0,2456.3
peak,81,2724.2,188.2,93.4,2442.7
peak,82,2756.3,247.0,77.5,2431.9
peak,83,2788.4,282.2,48.4,2457.7
peak,84,2756.3,294.0,55.9,2406.4
peak,85,2692.2,282.2,46.6,2363.4
peak,86,2660.2,247.0,51.1,2362.1
peak,87,2692.2,188.2,79.8,2424.2
peak,88,2820.4,105.8,87.8,2626.7
peak,89,3044.8,0.0,79.4,2965.4
peak,90,3205.0,0.0,84.8,3120.2
peak,91,3173.0,0.0,95.4,3077.5
peak,92,3044.8,0.0,92.6,2952.1
peak,93,2852.4,0.0,100.2,2752.3
peak,94,2564.0,0.0,97.9,2466.1
peak,95,2307.6,0.0,114.7,2192.9
peak,96,2115.3,0.0,158.2,1957.1
peak,97,2019.2,0.0,137.4,1881.8
peak,98,1955.0,0.0,117.3,1837.8
peak,99,1923.0,0.0,113.0,1810.0
peak,100,1955.0,0.0,102.2,1852.9
peak,101,2051.2,0.0,116.9,1934.3
peak,102,2243.5,0.0,109.6,2133.9
peak,103,2499.9,0.0,70.3,2429.6
peak,104,2660.2,105.8,93.9,2460.4
peak,105,2724.2,188.2,67.6,2468.5
peak,106,2756.3,247.0,93.4,2415.9
peak,107,2788.4,282.2,65.8,2440.3
peak,108,2756.3,294.0,87.5,2374.8
peak,109,2692.2,282.2,48.6,2361.3
peak,110,2660.2,247.0,51.4,2361.8
peak,111,2692.2,188.2,63.5,2440.5
peak,112,2820.4,105.8,80.6,2633.9
peak,113,3044.8,0.0,78.6,2966.1
peak,114,3205.0,0.0,56.0,3149.0
peak,115,3173.0,0.0,88.4,3084.6
peak,116,3044.8,0.0,94.5,2950.3
peak,117,2852.4,0.0,95.4,2757.0
peak,118,2564.0,0.0,99.3,2464.7
peak,119,2307.6,0.0,145.8,2161.8
peak,120,1946.1,0.0,114.2,1831.9
peak,121,1857.6,0.0,108.7,1748.9
peak,122,1798.6,0.0,133.6,1665.1
peak,123,1769.2,0.0,122.6,1646.5
peak,124,1798.6,0.0,114.6,1684.0
peak,125,1887.1,0.0,122.7,1764.4
peak,126,2064.0,0.0,110.1,1954.0
peak,127,2299.9,0.0,99.4,2200.5
peak,128,2447.3,105.8,100.7,2240.8
peak,129,2506.3,188.2,80.8,2237.4
peak,130,2535.8,247.0,58.1,2230.7
peak,131,2565.3,282.2,56.3,2226.7
peak,132,2535.8,294.0,49.4,2192.3
peak,133,2476.8,282.2,59.7,2134.9
peak,134,2447.3,247.0,38.3,2162.0
peak,135,2476.8,188.2,28.2,2260.4
peak,136,2594.8,105.8,65.2,2423.8
peak,137,2801.2,0.0,47.7,2753.5
peak,138,2948.6,0.0,45.1,2903.5
peak,139,2919.1,0.0,92.8,2826.3
peak,140,2801.2,0.0,83.4,2717.8
peak,141,2624.3,0.0,112.1,2512.1
peak,142,2358.9,0.0,102.3,2256.6
peak,143,2123.0,0.0,98.3,2024.7
peak,144,1946.1,0.0,100.3,1845.7
peak,145,1857.6,0.0,114.4,1743.2
peak,146,1798.6,0.0,118.1,1680.6
peak,147,1769.2,0.0,106.1,1663.1
peak,148,1798.6,0.0,110.4,1688.3
peak,149,1887.1,0.0,82.7,1804.4
peak,150,2064.0,0.0,100.9,1963.1
peak,151,2299.9,0.0,61.9,2238.0
peak,152,2447.3,105.8,80.0,2261.5
peak,153,2506.3,188.2,86.6,2231.6
peak,154,2535.8,247.0,85.8,2203.0
peak,155,2565.3,282.2,90.5,2192.6
peak,156,2535.8,294.0,31.6,2210.2
peak,157,2476.8,282.2,68.8,2125.8
peak,158,2447.3,247.0,76.9,2123.4
peak,159,2476.8,188.2,76.0,2212.6
peak,160,2594.8,105.8,48.9,2440.0
peak,161,2801.2,0.0,78.1,2723.1
peak,162,2948.6,0.0,110.4,2838.2
peak,163,2919.1,0.0,62.7,2856.5
peak,164,2801.2,0.0,104.6,2696.6
peak,165,2624.3,0.0,123.6,2500.7
peak,166,2358.9,0.0,100.5,2258.4
peak,167,2123.0,0.0,127.7,1995.3
minnet,0,1715.0,0.0,122.3,1592.7
minnet,1,1617.0,0.0,130.4,1486.6
minnet,2,1543.5,0.0,131.8,1411.7
minnet,3,1494.5,0.0,148.0,1346.5
minnet,4,1494.5,0.0,140.2,1354.3
minnet,5,1543.5,0.0,152.7,1390.8
minnet,6,1666.0,0.0,114.1,1551.9
minnet,7,1837.5,145.4,119.7,1572.4
minnet,8,2009.0,264.4,129.3,1615.2
minnet,9,2107.0,357.0,113.8,1636.2
minnet,10,2156.0,423.1,73.9,1659.0
minnet,11,2180.5,462.8,100.1,1617.6
minnet,12,2156.0,476.0,75.4,1604.6
minnet,13,2107.0,462.8,86.3,1558.0
minnet,14,2058.0,423.1,83.5,1551.4
minnet,15,2033.5,357.0,99.8,1576.7
minnet,16,2082.5,264.4,84.5,1733.6
minnet,17,2205.0,145.4,56.6,2002.9
minnet,18,2327.5,0.0,71.6,2255.9
minnet,19,2450.0,0.0,115.0,2335.0
minnet,20,2352.0,0.0,107.1,2244.9
minnet,21,2205.0,0.0,139.4,2065.6
minnet,22,2009.0,0.0,133.0,1876.0
minnet,23,1837.5,0.0,122.9,1714.6
minnet,24,1715.0,0.0,159.1,1555.9
minnet,25,1617.0,0.0,130.8,1486.2
minnet,26,1543.5,0.0,111.1,1432.4
minnet,27,1494.5,0.0,179.2,1315.3
minnet,28,1494.5,0.0,109.1,1385.4
minnet,29,1543.5,0.0,146.5,1397.0
minnet,30,1666.0,0.0,144.6,1521.4
minnet,31,1837.5,145.4,123.1,1568.9
minnet,32,2009.0,264.4,83.6,1660.9
minnet,33,2107.0,357.0,120.2,1629.8
minnet,34,2156.0,423.1,70.8,1662.1
minnet,35,2180.5,462.8,65.5,1652.2
minnet,36,2156.0,476.0,76.7,1603.3
minnet,37,2107.0,462.8,92.7,1551.5
minnet,38,2058.0,423.1,83.4,1551.4
minnet,39,2033.5,357.0,93.3,1583.2
minnet,40,2082.5,264.4,75.7,1742.3
minnet,41,2205.0,145.4,85.8,1973.8
minnet,42,2327.5,0.0,76.6,2250.9
minnet,43,2450.0,0.0,98.6,2351.4
minnet,44,2352.0,0.0,122.7,2229.3
minnet,45,2205.0,0.0,116.4,2088.6
minnet,46,2009.0,0.0,137.5,1871.5
minnet,47,1837.5,0.0,126.7,1710.8
minnet,48,1715.0,0.0,131.6,1583.4
minnet,49,1617.0,0.0,145.4,1471.6
minnet,50,1543.5,0.0,142.3,1401.2
minnet,51,1494.5,0.0,154.1,1340.4
minnet,52,1494.5,0.0,143.5,1351.0
minnet,53,1543.5,0.0,164.1,1379.4
minnet,54,1666.0,0.0,124.0,1542.0
minnet,55,1837.5,145.4,115.6,1576.4
minnet,56,2009.0,264.4,93.2,1651.4
minnet,57,2107.0,357.0,102.3,1647.7
minnet,58,2156.0,423.1,105.4,1627.5
minnet,59,2180.5,462.8,74.8,1643.0
minnet,60,2156.0,476.0,81.3,1598.7
minnet,61,2107.0,462.8,91.2,1553.0
minnet,62,2058.0,423.1,76.3,1558.6
minnet,63,2033.5,357.0,71.3,1605.2
minnet,64,2082.5,264.4,100.2,1717.9
minnet,65,2205.0,145.4,91.2,1968.3
minnet,66,2327.5,0.0,103.5,2224.0
minnet,67,2450.0,0.0,124.9,2325.1
minnet,68,2352.0,0.0,133.2,2218.8
minnet,69,2205.0,0.0,116.8,2088.2
