plant,model_GWh,share_%,NEPCO_GWh
Samra (SEPGCO),7852.312133439382,41.49593150698062,7568
Amman East (IPP1),2762.537640295058,14.598766676501032,2740
Qatrana (IPP2),2806.0409956060835,14.828662307448074,2713
Zarqa (ACWA),1699.0672457721432,8.978804823113103,1198
IPP4 (Levant),432.3269100929543,2.284652920691272,752
IPP3 (Amman Asia),211.61309659441437,1.1182798662405822,486
Rehab,935.8783444903551,4.945695359772721,576
Risha,306.6,1.620242851256554,305
Aqaba steam,536.7577537996704,2.8365228749198996,792
Solar,819.4953913360526,4.330663892530762,836
Wind,560.4596885799999,2.961776920545399,707
