contingency (one circuit of),post-contingency max loading %
AMMAN_SOUTH(132) - MADABA_SOUTH?(132),148
AMMAN_SOUTH(132) - MADABA_SOUTH?(132),148
ZERQA?(132) - NEW_ZARQA?(132),140
ZERQA?(132) - NEW_ZARQA?(132),140
AMMAN_NORTH_132(132) - MARKA?(132),130
AMMAN_NORTH_132(132) - MARKA?(132),130
QATRANA(132) - MAAN_RE_HUB(132),121
QATRANA(132) - MAAN_RE_HUB(132),121
trafo at AMMAN_SOUTH_132(400),109
trafo at AMMAN_SOUTH_132(400),109
AMMAN_SOUTH_132(132) - ASHRAFIAH?(132),106
AMMAN_SOUTH_132(132) - ASHRAFIAH?(132),106
